ticket_id,customer_id,created_at,updated_at,category,subcategory,priority,status,subject,description,channel,agent,first_response_at,resolved_at,satisfaction_score
TKT-00013,CUST-3299,2025-04-21 23:03:00,2025-04-24 13:13:00,Product Issue,,High,Closed,Product arrived damaged,The product quality is significantly lower than what was advertised on the website.,Phone,David Kim,2025-04-21 23:47:00,2025-04-23 16:48:00,3.2
TKT-00014,CUST-6966,2025-02-19 03:05:00,2025-02-21 08:44:00,Account Access,,Low,In Progress,Cannot access my account,I've been locked out of my account after entering my password incorrectly a few times.,Chat,Rachel Green,2025-02-19 09:47:00,,3.3
TKT-00015,CUST-1555,2025-04-02 06:28:00,2025-04-03 15:01:00,Account Access,,Medium,Resolved,Profile not updating,I need to update my email address but the system won't let me verify the new one.,Email,Chris Lee,2025-04-02 15:32:00,2025-04-03 01:24:00,4.0
TKT-00016,CUST-1804,2025-05-27 18:15:00,2025-05-30 12:30:00,Login,,Medium,Resolved,Social login not working,I can't create a new account. It says my email is already registered.,Email,Chris Lee,2025-05-27 18:42:00,2025-05-29 15:44:00,3.9
TKT-00017,CUST-2918,2025-05-24 12:05:00,2025-05-25 09:14:00,Product Issue,,Critical,Resolved,Color different from listing,Missing several components that were listed in the product description.,Web,Sarah Johnson,2025-05-24 17:08:00,2025-05-24 13:55:00,4.3
TKT-00018,CUST-3907,2025-01-29 08:58:00,2025-02-01 17:27:00,Billing,,High,Resolved,Tax calculation error,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Web,Anna Martinez,2025-01-29 18:24:00,2025-01-31 22:46:00,3.8
TKT-00019,CUST-6522,2025-04-15 08:29:00,2025-04-17 05:48:00,Product Issue,,Medium,Resolved,Packaging was broken,Missing several components that were listed in the product description.,Chat,Anna Martinez,2025-04-15 18:17:00,2025-04-16 19:26:00,4.2
TKT-00020,CUST-7411,2025-05-10 04:57:00,2025-05-10 18:18:00,Account Access,,Critical,Closed,Account verification failed,The two-factor authentication codes from my authenticator app are not being accepted.,Web,David Kim,2025-05-10 06:35:00,2025-05-10 17:49:00,3.3
TKT-00021,CUST-4603,2025-02-24 19:59:00,2025-02-28 16:35:00,Refund,,High,Resolved,Want refund for defective product,It's been over a month since I returned the defective product. No refund or update.,Phone,Tom Baker,2025-02-24 22:39:00,2025-02-27 18:00:00,5.0
TKT-00022,CUST-5714,2025-06-02 11:52:00,2025-06-03 18:55:00,Account Access,,Critical,In Progress,Account verification failed,I can't access my account even though I'm using the correct credentials.,Chat,David Kim,2025-06-02 23:30:00,,3.4
TKT-00023,CUST-6038,2025-05-27 14:27:00,2025-05-29 09:36:00,Billing,,High,Open,Promotional pricing not applied,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Phone,Lisa Thompson,2025-05-28 01:29:00,,3.7
TKT-00024,CUST-4469,2025-05-15 05:04:00,2025-05-16 14:39:00,Billing,,Medium,Open,Promotional pricing not applied,The promotional pricing I signed up for is not reflected in my latest bill.,Chat,Mike Chen,2025-05-15 07:44:00,,4.6
TKT-00025,CUST-8312,2025-02-26 21:47:00,2025-03-01 09:03:00,Billing,,High,Resolved,Monthly bill too high,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Email,Rachel Green,2025-02-27 04:55:00,2025-02-28 19:38:00,3.9
TKT-00026,CUST-5103,2025-03-31 20:24:00,2025-04-02 17:32:00,Shipping,,Medium,Resolved,Delivery attempted but no notice,The shipping address was changed without my authorization and the package went to the wrong location.,Email,Chris Lee,2025-04-01 05:18:00,2025-04-01 23:57:00,4.0
TKT-00027,CUST-5858,2025-02-28 08:11:00,2025-03-03 13:55:00,Account Access,,High,Closed,Cannot access my account,The two-factor authentication codes from my authenticator app are not being accepted.,Email,Lisa Thompson,2025-02-28 08:26:00,2025-03-03 02:34:00,5.0
TKT-00028,CUST-2611,2025-05-15 11:18:00,2025-05-16 09:20:00,Billing,,High,Resolved,Billing discrepancy,My invoice shows a different amount than what was agreed upon. Please review and correct.,Web,Mike Chen,2025-05-15 15:17:00,2025-05-15 19:39:00,5.0
TKT-00029,CUST-1695,2025-03-07 11:48:00,2025-03-08 14:08:00,Subscription,,High,Resolved,Features missing from plan,I tried to cancel my subscription but the cancel button is not working.,Phone,Chris Lee,2025-03-07 14:52:00,2025-03-07 21:03:00,3.6
TKT-00030,CUST-7038,2025-01-05 06:54:00,2025-01-06 18:58:00,Billing,,Critical,Open,Tax calculation error,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Phone,David Kim,2025-01-05 07:15:00,,4.9
TKT-00031,CUST-6182,2025-06-06 15:47:00,2025-06-09 17:31:00,Account Access,,Medium,Closed,Account suspended,I can't access my account even though I'm using the correct credentials.,Email,Tom Baker,2025-06-07 02:59:00,2025-06-09 12:12:00,4.3
TKT-00032,CUST-5683,2025-04-03 19:35:00,2025-04-06 10:06:00,Shipping,,High,Open,Tracking not updating,My order was supposed to arrive 5 days ago but tracking still shows it's in transit.,Email,James Wilson,2025-04-04 03:35:00,,5.0
TKT-00033,CUST-2860,2025-04-05 08:23:00,2025-04-06 23:26:00,Login,,Critical,Closed,Username taken error,The password reset link says it's expired even though I just received it.,Chat,Chris Lee,2025-04-05 09:22:00,2025-04-06 02:59:00,4.0
TKT-00034,CUST-1353,2025-02-11 22:48:00,2025-02-14 19:03:00,Refund,,Medium,Resolved,Refund amount incorrect,I was told I'd receive a full refund but only got a partial amount.,Email,Mike Chen,2025-02-12 04:52:00,2025-02-14 07:52:00,4.9
TKT-00035,CUST-7267,2025-03-17 14:18:00,2025-03-20 14:20:00,Technical Issue,,High,Open,App crashes on login,I've been experiencing slow loading times for the past week. Pages take over 30 seconds to load.,Email,Lisa Thompson,2025-03-18 00:09:00,,3.0
TKT-00036,CUST-5539,2025-06-13 14:36:00,2025-06-15 08:05:00,Refund,,High,Closed,Refund denied unfairly,I was told I'd receive a full refund but only got a partial amount.,Web,Rachel Green,2025-06-13 18:49:00,2025-06-14 08:27:00,2.7
TKT-00037,CUST-6990,2025-03-13 14:17:00,2025-03-16 19:31:00,Technical Issue,,Medium,Resolved,App crashes on login,The export feature has stopped working since the last update. I get a 500 error.,Chat,Sarah Johnson,2025-03-13 21:06:00,2025-03-16 07:16:00,4.4
TKT-00038,CUST-7314,2025-05-24 18:25:00,2025-05-25 22:36:00,Technical Issue,,Medium,Closed,Feature not working,I'm getting intermittent errors when trying to save my work. Data is being lost.,Phone,Lisa Thompson,2025-05-25 04:46:00,2025-05-25 15:11:00,2.6
TKT-00039,CUST-5034,2025-05-19 10:43:00,2025-05-22 12:29:00,Technical Issue,,Medium,Resolved,Data sync not working,I'm getting intermittent errors when trying to save my work. Data is being lost.,Chat,Tom Baker,2025-05-19 21:06:00,2025-05-22 08:49:00,2.7
TKT-00040,CUST-1630,2025-06-28 08:15:00,2025-06-29 16:48:00,Technical Issue,,High,Closed,Memory leak in application,The mobile app freezes frequently and I have to force close it to continue.,Email,Rachel Green,2025-06-28 17:29:00,2025-06-29 04:03:00,3.3
TKT-00041,CUST-6357,2025-06-29 12:20:00,2025-07-01 22:37:00,Payment,,Low,Resolved,Insufficient funds error,The checkout process times out when I try to complete my purchase.,Chat,Tom Baker,2025-06-29 22:59:00,2025-07-01 11:48:00,3.7
TKT-00042,CUST-7620,2025-02-03 16:11:00,2025-02-04 09:09:00,Shipping,,High,Open,Delivery attempted but no notice,My order was supposed to arrive 5 days ago but tracking still shows it's in transit.,Web,Tom Baker,2025-02-04 04:03:00,,2.1
TKT-00043,CUST-3778,2025-03-02 15:56:00,2025-03-04 14:02:00,Refund,,Critical,In Progress,Exchange instead of refund,I returned my item 3 weeks ago but still haven't received my refund.,Email,Anna Martinez,2025-03-02 21:20:00,,5.0
TKT-00044,CUST-7727,2025-06-20 03:32:00,2025-06-23 13:39:00,Shipping,,Critical,Closed,International shipping delay,My order was supposed to arrive 5 days ago but tracking still shows it's in transit.,Email,Sarah Johnson,2025-06-20 06:50:00,2025-06-22 22:00:00,3.0
TKT-00045,CUST-9194,2025-06-11 15:13:00,2025-06-12 07:01:00,Product Issue,,High,Resolved,Product defect,I ordered size Large but received a Medium. The label on the product says Medium.,Phone,Mike Chen,2025-06-11 23:17:00,2025-06-11 16:19:00,3.0
TKT-00046,CUST-8827,2025-04-23 04:13:00,2025-04-24 19:10:00,Account Access,,Medium,Closed,Profile not updating,My account shows as suspended but I haven't violated any terms.,Phone,Emily Rodriguez,2025-04-23 16:12:00,2025-04-23 23:52:00,2.4
TKT-00047,CUST-7742,2025-06-24 19:14:00,2025-06-27 08:34:00,Product Issue,,Medium,Closed,Packaging was broken,I ordered size Large but received a Medium. The label on the product says Medium.,Phone,Tom Baker,2025-06-25 04:20:00,2025-06-27 02:54:00,1.6
TKT-00048,CUST-4756,2025-06-05 01:31:00,2025-06-06 13:01:00,Subscription,,High,Resolved,Trial charged early,I was charged for a subscription I cancelled 3 months ago. This needs to be refunded.,Email,Rachel Green,2025-06-05 02:39:00,2025-06-06 12:53:00,5.0
TKT-00049,CUST-9153,2025-06-09 10:33:00,2025-06-11 18:08:00,Billing,,Critical,Closed,Invoice incorrect,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Chat,David Kim,2025-06-09 12:50:00,2025-06-11 05:31:00,3.5
TKT-00050,CUST-2608,2025-03-10 20:27:00,2025-03-13 13:35:00,Billing,,Medium,Open,Charge after cancellation,I see a $49.99 charge but my plan should be $29.99. Please explain this discrepancy.,Email,Tom Baker,2025-03-10 21:35:00,,3.3
TKT-00051,CUST-4981,2025-02-23 01:42:00,2025-02-25 09:53:00,Product Issue,,Critical,Closed,Packaging was broken,The product I received has visible damage. The box was intact but the item inside was cracked.,Phone,Tom Baker,2025-02-23 04:53:00,2025-02-25 09:34:00,4.5
TKT-00052,CUST-7791,2025-06-15 08:10:00,2025-06-15 20:06:00,Refund,,Medium,Open,Partial refund request,My refund amount is $20 less than what I paid. The difference hasn't been explained.,Phone,David Kim,2025-06-15 09:17:00,,4.4
TKT-00053,CUST-8743,2025-04-11 16:37:00,2025-04-14 05:22:00,Product Issue,,Medium,Closed,Product arrived damaged,The product I received has visible damage. The box was intact but the item inside was cracked.,Chat,David Kim,2025-04-11 20:57:00,2025-04-14 01:17:00,3.2
TKT-00054,CUST-8931,2025-03-15 10:00:00,2025-03-16 14:08:00,Payment,,Critical,Resolved,Payment not processing,My payment failed but I was still charged. The order shows as cancelled.,Chat,David Kim,2025-03-15 11:28:00,2025-03-16 10:24:00,2.3
TKT-00055,CUST-1096,2025-05-27 12:10:00,2025-05-29 03:44:00,Billing,,Low,Closed,Unexpected fee on my account,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Phone,Emily Rodriguez,2025-05-27 17:29:00,2025-05-29 03:43:00,4.1
TKT-00056,CUST-1093,2025-04-19 09:29:00,2025-04-22 16:17:00,Product Issue,,High,Open,Size mismatch,The product stopped working after just two days of normal use.,Chat,Chris Lee,2025-04-19 18:41:00,,3.0
TKT-00057,CUST-7834,2025-01-18 11:46:00,2025-01-19 08:43:00,Refund,,Critical,Resolved,Exchange instead of refund,"I'm being charged a restocking fee for a defective product return, which seems unfair.",Email,Emily Rodriguez,2025-01-18 13:48:00,2025-01-19 05:11:00,3.3
TKT-00058,CUST-1850,2025-02-14 21:00:00,2025-02-15 13:06:00,Product Issue,,High,In Progress,Size mismatch,Missing several components that were listed in the product description.,Chat,Lisa Thompson,2025-02-15 05:00:00,,3.8
TKT-00059,CUST-5952,2025-04-20 09:30:00,2025-04-23 13:18:00,Product Issue,,High,Resolved,Product defect,The product I received has visible damage. The box was intact but the item inside was cracked.,Web,Rachel Green,2025-04-20 19:00:00,2025-04-23 00:38:00,4.5
TKT-00060,CUST-3018,2025-06-22 12:47:00,2025-06-23 16:12:00,Technical Issue,,High,Closed,Mobile app freeze,The export feature has stopped working since the last update. I get a 500 error.,Web,Anna Martinez,2025-06-22 21:51:00,2025-06-23 05:46:00,2.8
TKT-00061,CUST-4963,2025-04-25 00:42:00,2025-04-27 20:01:00,Refund,,Medium,Resolved,Refund taking too long,It's been over a month since I returned the defective product. No refund or update.,Email,Lisa Thompson,2025-04-25 01:14:00,2025-04-27 13:35:00,4.4
TKT-00062,CUST-3720,2025-06-07 16:05:00,2025-06-09 02:30:00,Technical Issue,,Medium,Resolved,Website not loading properly,The mobile app freezes frequently and I have to force close it to continue.,Chat,David Kim,2025-06-07 22:56:00,2025-06-08 21:16:00,4.3
TKT-00063,CUST-6281,2025-01-25 21:55:00,2025-01-27 19:21:00,Product Issue,,Medium,Closed,Quality below expectations,I ordered size Large but received a Medium. The label on the product says Medium.,Web,Emily Rodriguez,2025-01-25 22:03:00,2025-01-27 01:30:00,3.8
TKT-00064,CUST-1837,2025-03-05 22:33:00,2025-03-07 18:55:00,Billing,,High,Open,Charge after cancellation,My invoice shows a different amount than what was agreed upon. Please review and correct.,Phone,Lisa Thompson,2025-03-06 08:45:00,,3.0
TKT-00065,CUST-4167,2025-06-16 02:41:00,2025-06-17 12:41:00,Account Access,,Critical,Open,Account suspended,I can't access my account even though I'm using the correct credentials.,Phone,Rachel Green,2025-06-16 07:02:00,,4.3
TKT-00066,CUST-5973,2025-03-04 07:45:00,2025-03-06 12:32:00,Login,,Medium,Open,Password reset link expired,I've requested a password reset multiple times but never receive the email.,Phone,David Kim,2025-03-04 17:17:00,,3.8
TKT-00067,CUST-8742,2025-01-07 09:03:00,2025-01-09 12:25:00,Billing,,High,Closed,Unexpected fee on my account,The promotional pricing I signed up for is not reflected in my latest bill.,Chat,Emily Rodriguez,2025-01-07 09:22:00,2025-01-09 08:33:00,5.0
TKT-00068,CUST-2012,2025-05-22 03:56:00,2025-05-24 04:00:00,Refund,,High,Resolved,Partial refund request,I returned my item 3 weeks ago but still haven't received my refund.,Email,Lisa Thompson,2025-05-22 04:05:00,2025-05-23 04:49:00,3.4
TKT-00069,CUST-5321,2025-04-15 05:22:00,2025-04-16 23:15:00,Refund,,High,In Progress,Want refund for defective product,I was told I'd receive a full refund but only got a partial amount.,Email,Anna Martinez,2025-04-15 15:16:00,,5.0
TKT-00070,CUST-9067,2025-05-19 16:03:00,2025-05-22 11:57:00,Technical Issue,,Medium,Resolved,Mobile app freeze,The export feature has stopped working since the last update. I get a 500 error.,Email,Rachel Green,2025-05-20 00:36:00,2025-05-21 13:50:00,3.2
TKT-00071,CUST-7722,2025-03-04 22:24:00,2025-03-07 08:49:00,Billing,,Medium,Resolved,Tax calculation error,The promotional pricing I signed up for is not reflected in my latest bill.,Email,Anna Martinez,2025-03-04 23:30:00,2025-03-06 14:46:00,5.0
TKT-00072,CUST-4724,2025-04-01 23:21:00,2025-04-04 20:50:00,Refund,,Critical,In Progress,Charge after returning item,My refund amount is $20 less than what I paid. The difference hasn't been explained.,Chat,Lisa Thompson,2025-04-02 08:17:00,,2.7
TKT-00073,CUST-1874,2025-05-16 00:16:00,2025-05-19 17:57:00,Technical Issue,,Medium,Resolved,Memory leak in application,I've been experiencing slow loading times for the past week. Pages take over 30 seconds to load.,Email,Rachel Green,2025-05-16 10:21:00,2025-05-18 20:29:00,4.0
TKT-00074,CUST-8722,2025-02-02 17:21:00,2025-02-04 17:09:00,Product Issue,,Medium,Resolved,Color different from listing,The product stopped working after just two days of normal use.,Phone,Sarah Johnson,2025-02-03 02:04:00,2025-02-03 21:48:00,2.1
TKT-00075,CUST-8046,2025-06-13 07:38:00,2025-06-14 22:36:00,Billing,,Medium,Resolved,Wrong amount billed,My invoice shows a different amount than what was agreed upon. Please review and correct.,Chat,Lisa Thompson,2025-06-13 17:09:00,2025-06-14 02:37:00,3.0
TKT-00076,CUST-5568,2025-02-14 11:18:00,2025-02-15 16:37:00,Technical Issue,,Medium,Resolved,App crashes on login,The mobile app freezes frequently and I have to force close it to continue.,Chat,David Kim,2025-02-14 14:35:00,2025-02-15 15:01:00,3.9
TKT-00077,CUST-7065,2025-02-25 08:44:00,2025-02-28 12:51:00,Technical Issue,,Medium,In Progress,Data sync not working,The mobile app freezes frequently and I have to force close it to continue.,Chat,Emily Rodriguez,2025-02-25 08:50:00,,4.2
TKT-00078,CUST-6732,2025-06-23 06:03:00,2025-06-25 10:29:00,Billing,,Medium,Open,Monthly bill too high,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Web,Rachel Green,2025-06-23 13:55:00,,3.2
TKT-00079,CUST-7470,2025-04-17 01:01:00,2025-04-19 11:16:00,Technical Issue,,Low,Open,Website not loading properly,I'm getting intermittent errors when trying to save my work. Data is being lost.,Chat,Sarah Johnson,2025-04-17 01:11:00,,3.9
TKT-00080,CUST-5053,2025-01-27 05:04:00,2025-01-28 19:37:00,Billing,,Low,In Progress,Wrong amount billed,My invoice shows a different amount than what was agreed upon. Please review and correct.,Email,Emily Rodriguez,2025-01-27 06:33:00,,4.7
TKT-00081,CUST-8689,2025-04-16 05:28:00,2025-04-18 10:25:00,Product Issue,,Medium,Resolved,Product arrived damaged,The product stopped working after just two days of normal use.,Chat,James Wilson,2025-04-16 16:10:00,2025-04-18 07:03:00,3.4
TKT-00082,CUST-9451,2025-04-07 12:08:00,2025-04-09 04:02:00,Technical Issue,,Medium,Closed,Website not loading properly,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Email,Emily Rodriguez,2025-04-07 21:34:00,2025-04-08 07:12:00,2.6
TKT-00083,CUST-8206,2025-04-16 01:37:00,2025-04-18 10:08:00,Account Access,,High,Open,Profile not updating,My account shows as suspended but I haven't violated any terms.,Chat,Chris Lee,2025-04-16 12:09:00,,1.9
TKT-00084,CUST-7943,2025-02-15 09:54:00,2025-02-15 23:34:00,Technical Issue,,Medium,Open,Memory leak in application,I'm getting intermittent errors when trying to save my work. Data is being lost.,Phone,Mike Chen,2025-02-15 10:49:00,,3.6
TKT-00085,CUST-5009,2025-04-14 05:25:00,2025-04-17 03:57:00,Subscription,,High,Resolved,Cancellation confirmation not received,I upgraded my plan but I'm still being charged the old rate AND the new rate.,Email,Sarah Johnson,2025-04-14 12:43:00,2025-04-16 08:47:00,3.7
TKT-00086,CUST-4148,2025-04-29 10:58:00,2025-05-01 22:24:00,Shipping,,High,Open,Wrong address shipped,The shipping address was changed without my authorization and the package went to the wrong location.,Email,Tom Baker,2025-04-29 18:44:00,,3.4
TKT-00087,CUST-4181,2025-03-24 07:57:00,2025-03-26 09:17:00,Billing,,Medium,In Progress,Charge after cancellation,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Chat,James Wilson,2025-03-24 12:35:00,,4.3
TKT-00088,CUST-4641,2025-04-16 12:17:00,2025-04-18 10:33:00,Billing,,Medium,In Progress,Monthly bill too high,I see a $49.99 charge but my plan should be $29.99. Please explain this discrepancy.,Email,Lisa Thompson,2025-04-16 13:02:00,,4.8
TKT-00089,CUST-7103,2025-02-24 17:40:00,2025-02-27 17:40:00,Refund,,Low,Closed,Refund taking too long,I was told I'd receive a full refund but only got a partial amount.,Chat,James Wilson,2025-02-25 04:00:00,2025-02-26 22:46:00,2.7
TKT-00090,CUST-4077,2025-06-02 01:13:00,2025-06-03 04:25:00,Shipping,,Medium,Closed,Delivery attempted but no notice,My package shows as delivered but I never received it. I've checked with neighbors.,Email,Rachel Green,2025-06-02 05:06:00,2025-06-02 16:51:00,3.2
TKT-00091,CUST-6818,2025-04-19 02:01:00,2025-04-20 18:31:00,Product Issue,,Low,Resolved,Product not as described,The product stopped working after just two days of normal use.,Email,David Kim,2025-04-19 09:43:00,2025-04-19 18:35:00,3.9
TKT-00092,CUST-9268,2025-05-13 17:11:00,2025-05-16 22:24:00,Subscription,,High,Resolved,Subscription price increased,I was charged for a subscription I cancelled 3 months ago. This needs to be refunded.,Phone,Emily Rodriguez,2025-05-13 22:29:00,2025-05-16 02:47:00,3.2
TKT-00093,CUST-4983,2025-05-02 08:54:00,2025-05-04 19:25:00,Technical Issue,,High,In Progress,App crashes on login,The mobile app freezes frequently and I have to force close it to continue.,Chat,David Kim,2025-05-02 12:10:00,,4.4
TKT-00094,CUST-9860,2025-02-11 03:54:00,2025-02-14 03:57:00,Billing,,Medium,Closed,Tax calculation error,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Chat,Tom Baker,2025-02-11 11:43:00,2025-02-13 06:15:00,3.4
TKT-00095,CUST-7227,2025-03-01 02:32:00,2025-03-01 23:23:00,Login,,High,Open,Login loop issue,My social login (Google) is not working. It says account already exists.,Phone,David Kim,2025-03-01 05:35:00,,4.1
TKT-00096,CUST-8959,2025-05-24 18:16:00,2025-05-26 15:43:00,Billing,,Medium,Resolved,Unexpected fee on my account,My invoice shows a different amount than what was agreed upon. Please review and correct.,Email,Tom Baker,2025-05-24 20:24:00,2025-05-26 11:18:00,4.1
TKT-00097,CUST-8659,2025-05-16 00:40:00,2025-05-16 20:25:00,Account Access,,High,Closed,Profile not updating,I can't access my account even though I'm using the correct credentials.,Web,Lisa Thompson,2025-05-16 08:40:00,2025-05-16 10:00:00,3.2
TKT-00098,CUST-1067,2025-04-02 07:09:00,2025-04-03 13:59:00,Shipping,,Medium,Open,Tracking not updating,I need to return an item but haven't received a shipping label after requesting one.,Email,Lisa Thompson,2025-04-02 17:09:00,,1.9
TKT-00099,CUST-1160,2025-06-10 10:34:00,2025-06-11 10:30:00,Billing,,Medium,Resolved,Invoice incorrect,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Email,Sarah Johnson,2025-06-10 15:36:00,2025-06-11 07:41:00,4.4
TKT-00100,CUST-4870,2025-01-29 06:49:00,2025-01-31 00:55:00,Shipping,,Medium,Resolved,No delivery confirmation,My order was supposed to arrive 5 days ago but tracking still shows it's in transit.,Email,Chris Lee,2025-01-29 11:18:00,2025-01-30 03:59:00,3.2
TKT-00101,CUST-9917,2025-01-24 15:06:00,2025-01-27 03:50:00,Account Access,,High,Resolved,Profile not updating,I can't access my account even though I'm using the correct credentials.,Email,Mike Chen,2025-01-24 18:47:00,2025-01-26 13:22:00,4.4
TKT-00102,CUST-4365,2025-06-07 05:58:00,2025-06-09 09:13:00,Billing,,Low,Resolved,Invoice incorrect,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Phone,Mike Chen,2025-06-07 16:10:00,2025-06-08 17:37:00,3.0
TKT-00103,CUST-7251,2025-04-21 03:43:00,2025-04-21 17:51:00,Billing,,High,Resolved,Monthly bill too high,I see a $49.99 charge but my plan should be $29.99. Please explain this discrepancy.,Chat,Sarah Johnson,2025-04-21 15:06:00,2025-04-21 09:57:00,3.5
TKT-00104,CUST-9187,2025-01-29 03:11:00,2025-02-01 12:03:00,Login,,Medium,Resolved,Session expired too quickly,The password reset link says it's expired even though I just received it.,Email,Anna Martinez,2025-01-29 14:30:00,2025-01-31 18:26:00,3.0
TKT-00105,CUST-9209,2025-04-03 09:47:00,2025-04-06 19:12:00,Account Access,,Medium,Resolved,Account verification failed,My account shows as suspended but I haven't violated any terms.,Web,David Kim,2025-04-03 15:05:00,2025-04-06 02:05:00,2.6
TKT-00106,CUST-5721,2025-03-31 02:45:00,2025-04-02 20:44:00,Technical Issue,,High,Open,Memory leak in application,I'm getting intermittent errors when trying to save my work. Data is being lost.,Phone,Emily Rodriguez,2025-03-31 12:11:00,,3.3
TKT-00107,CUST-7101,2025-06-05 11:06:00,2025-06-08 03:53:00,Account Access,,High,In Progress,Two-factor authentication broken,My account shows as suspended but I haven't violated any terms.,Phone,Lisa Thompson,2025-06-05 21:19:00,,2.4
TKT-00108,CUST-2132,2025-01-06 14:49:00,2025-01-08 09:57:00,Billing,,High,Resolved,Unexpected fee on my account,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Email,James Wilson,2025-01-06 19:28:00,2025-01-07 11:10:00,3.3
TKT-00109,CUST-2373,2025-06-27 12:56:00,2025-06-30 14:00:00,Subscription,,Medium,Open,Annual vs monthly billing confusion,The features I was promised in my plan are not available in my account.,Chat,Emily Rodriguez,2025-06-27 19:24:00,,3.8
TKT-00110,CUST-2911,2025-01-14 13:27:00,2025-01-17 04:06:00,Technical Issue,,High,Open,Data sync not working,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Chat,Mike Chen,2025-01-14 21:56:00,,3.1
TKT-00111,CUST-4389,2025-04-13 17:41:00,2025-04-14 21:03:00,Product Issue,,Medium,Resolved,Size mismatch,The product I received has visible damage. The box was intact but the item inside was cracked.,Web,Tom Baker,2025-04-13 17:51:00,2025-04-14 10:08:00,2.7
TKT-00112,CUST-3723,2025-04-05 03:30:00,2025-04-07 07:18:00,Refund,,Medium,Resolved,Refund denied unfairly,It's been over a month since I returned the defective product. No refund or update.,Phone,Sarah Johnson,2025-04-05 06:33:00,2025-04-06 18:18:00,3.5
